Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath
"Jamaica Plain","46 Spring Park Ave. #1 Jamaica Plain","5100","0","0","4","2"
"Jamaica Plain","38 Robeson St. #1 Jamaica Plain","3500","0","0","2","2"
"Jamaica Plain","76 Wenham #1 Jamaica Plain","3400","0","0","3","1"
"Jamaica Plain","81 Amory St. #401 Jamaica Plain","3850","0","0","3","2"
"Mission Hill","80 Fenwood Rd. #1009 Mission Hill","3400","0","0","1","1"
"Roxbury","288 Highland St. #3 Roxbury","2600","0","0","2","1"
"Roxbury","221 Dudley #5 Roxbury","3000","0","0","3","1"
"Roxbury","475 Dudley St. #2 Roxbury","2850","0","0","4","1"
"Roxbury","431 Melnea Cass Blvd. #310 Roxbury","4099","0","0","2","2"
"Roxbury","11 Wyoming #1 Roxbury","3000","0","0","2","1"
"Roxbury","285 Roxbury St. Roxbury","4700","0","0","4","2"
"Roxbury","25 Alpine St. #2 Roxbury","2500","0","0","2","1"
"Roxbury","22 Pompeii St. #2 Roxbury","2500","0","0","2","1"
"Roxbury","2747 Washington St. #5 Roxbury","4500","0","0","5","1"
"South End","40 Traveler St. #407 South End","4000","0","0","1","1"
"South End","345 Harrison Ave. #909 South End","2735","0","0","N/A","1"
"South End","89 East Dedham St. #825 South End","4086","0","0","1","1"
"South End","533 Columbus Ave. #8 South End","2495","0","0","1","1"
"Dorchester","10 Coffey St. #3 Dorchester","2100","0","0","1","1"
"Dorchester","12 Wyoming St. #3 Dorchester","1750","0","0","1","1"
"Dorchester","65 Capen St. #1 Dorchester","2850","0","0","2","1"
"Dorchester","1854 Dorchester Ave. #402 Dorchester","3300","0","0","2","2"
"Dorchester","24 Oyster Bay Rd. #290707 Dorchester","2530","0","0","1","1"
"Dorchester","12 Danube St. #2 Dorchester","3600","0","0","4","1"
"Dorchester","33 Greenbrier St. #1 Dorchester","3650","0","0","4","1"
"Dorchester","60 Mather St. #1 Dorchester","3900","0","0","3","2"
"Dorchester","18 Gaston St. #1 Dorchester","3500","0","0","3","2.5"
"Dorchester","14 Bearse Ave. #1 Dorchester","3400","0","0","3","1"
"Dorchester","22 Willis St. #2 Dorchester","2850","0","0","3","1"
"Dorchester","97 Fuller St. #1 Dorchester","3200","0","0","3","1.5"
"Dorchester","7 Rowell #1 Dorchester","3400","0","0","3","2"
"Allston","1185 Commonwealth Ave. #1 Allston","3900","0","0","3","1"
"Allston","1197 Commonwealth Ave. #24 Allston","3100","0","0","2","1"
"Allston","41 Ashford St. #3 Allston","6000","0","0","4","1.5"
"Jamaica Plain","8 Buckley Ave. #1 Jamaica Plain","3300","0","0","3","1"
"South End","400 Massachusetts Ave. #85 South End","2700","0","0","1","1"
"Coolidge Corner","56 Dwight #3 Coolidge Corner","4500","0","0","3","2"
"Dorchester","16 Norwood St. #2 Dorchester","2100","0","0","1","1"
"Dorchester","24 Oyster Bay Rd. #190603 Dorchester","3450","0","0","2","2"
"Dorchester","112 Adams #3L Dorchester","2800","0","0","2","1"
"Roxbury","3 Sunderland #4 Roxbury","2600","0","0","2","1"
"Dorchester","58 Tolman St. #1 Dorchester","2500","0","0","1","1"
"Back Bay","513 Beacon #6 Back Bay","3395","0","0","1","1"
"Jamaica Plain","19 Armstrong St. #3 Jamaica Plain","3200","0","0","3","1"
"Allston","85 Brainerd Rd. #T8 Allston","5500","0","0","4","3.5"
"South End","11 East Springfield #C South End","5600","0","0","3","2.5"
"Brookline Village","22 Chestnut Pl. #316 Brookline Village","3300","0","0","2","2"
"Mission Hill","256 Parker Hill Ave. #SHORT TERM Mission Hill","2750","0","0","2","1"
"Back Bay","770 Boylston St. #770-22E Back Bay","3821","0","0","1","1"
"Mission Hill","75 Saint Alphonsus St. #2010 Mission Hill","2700","0","0","N/A","1"
"Mission Hill","75 Saint Alphonsus St. #1207 Mission Hill","4926","0","0","3","2"
"Mission Hill","75 Saint Alphonsus St. #1910 Mission Hill","2700","0","0","N/A","1"
"Mission Hill","75 Saint Alphonsus St. #903 Mission Hill","2544","0","0","1","1"
"Mission Hill","75 Saint Alphonsus St. #1404 Mission Hill","2434","0","0","1","1"
"Mission Hill","75 Saint Alphonsus St. #906 Mission Hill","2544","0","0","1","1"
"Mission Hill","75 Saint Alphonsus St. #605 Mission Hill","2584","0","0","1","1"
"Mission Hill","75 Saint Alphonsus St. #1510 Mission Hill","2685","0","0","N/A","1"
"Mission Hill","75 Saint Alphonsus St. #1408 Mission Hill","2484","0","0","1","1"
"Mission Hill","75 Saint Alphonsus St. #609 Mission Hill","3514","0","0","2","1.5"
"Mission Hill","75 Saint Alphonsus St. #1503 Mission Hill","2574","0","0","1","1"
"Mission Hill","75 Saint Alphonsus St. #607 Mission Hill","4901","0","0","3","2"
"Mission Hill","75 Saint Alphonsus St. #1901 Mission Hill","3369","0","0","2","1.5"
"Mission Hill","75 Saint Alphonsus St. #1110 Mission Hill","2670","0","0","N/A","1"
"Mission Hill","75 Saint Alphonsus St. #606 Mission Hill","2534","0","0","1","1"
"Mission Hill","75 Saint Alphonsus St. #1504 Mission Hill","2449","0","0","1","1"
"Mission Hill","75 Saint Alphonsus St. #603 Mission Hill","2534","0","0","1","1"
"Mission Hill","75 Saint Alphonsus St. #1109 Mission Hill","3539","0","0","2","1.5"
"Mission Hill","75 Saint Alphonsus St. #1807 Mission Hill","4941","0","0","3","2"
"Mission Hill","75 Saint Alphonsus St. #501 Mission Hill","3314","0","0","2","1.5"
"Fenway","1330 Boylston St. #517 Fenway","3996","0","0","1","1.5"
"Fenway","1330 Boylston St. #609 Fenway","4900","0","0","1","1.5"
"Fenway","1330 Boylston St. #917 Fenway","4122","0","0","1","1.5"
"Fenway","1330 Boylston St. #218 Fenway","4999","0","0","2","2"
"Fenway","1330 Boylston St. #219 Fenway","3699","0","0","1","1"
"Fenway","1330 Boylston St. #203 Fenway","4450","0","0","1","1"
"Fenway","1330 Boylston St. #1317 Fenway","4930","0","0","1","1.5"
"Fenway","1330 Boylston St. #1113 Fenway","3699","0","0","1","1"
"Fenway","1330 Boylston St. #918 Fenway","5597","0","0","2","2"
"Fenway","1330 Boylston St. #418 Fenway","5100","0","0","2","2"
"Fenway","180 Brookline Ave. #1306 Fenway","5350","0","0","2","2"
"Fenway","180 Brookline Ave. #253 Fenway","3482","0","0","1","1"
"Fenway","180 Brookline Ave. #842 Fenway","3507","0","0","1","1"
"Fenway","180 Brookline Ave. #1401 Fenway","3757","0","0","1","1"
"Fenway","180 Brookline Ave. #244 Fenway","3732","0","0","1","1"
"Fenway","180 Brookline Ave. #1532 Fenway","3782","0","0","1","1"
"Fenway","180 Brookline Ave. #1106 Fenway","5249","0","0","2","2"
"Fenway","180 Brookline Ave. #303 Fenway","5551","0","0","2","2"
"Fenway","180 Brookline Ave. #807 Fenway","3608","0","0","N/A","1"
"Fenway","180 Brookline Ave. #1126 Fenway","3932","0","0","1","1"
"Fenway","180 Brookline Ave. #1326 Fenway","4032","0","0","1","1"
"Fenway","180 Brookline Ave. #553 Fenway","4897","0","0","2","2"
"Fenway","180 Brookline Ave. #1044 Fenway","3757","0","0","1","1"
"Back Bay","77 Exeter St. #1-803 Back Bay","3855","0","0","N/A","1"
"Back Bay","77 Exeter St. #1-1906 Back Bay","4517","0","0","1","1"
"Back Bay","77 Exeter St. #1-1206 Back Bay","4737","0","0","1","1"
"Back Bay","790 Boylston St. #790-22A Back Bay","3150","0","0","N/A","1"
"Fenway","1377 Boylston St. #1215 Fenway","4196","0","0","1","1"
"Fenway","1377 Boylston St. #1107 Fenway","3951","0","0","1","1"
"Fenway","1377 Boylston St. #1005 Fenway","4070","0","0","N/A","1"
"Fenway","1377 Boylston St. #614 Fenway","4278","0","0","1","1"
"South End","55 Traveler St. #922 South End","4220","0","0","2","2"
"South End","55 Traveler St. #722 South End","4210","0","0","2","2"
"South End","55 Traveler St. #402 South End","3795","0","0","2","1"
"South End","55 Traveler St. #1701 South End","3990","0","0","2","1"
"South End","55 Traveler St. #610 South End","2965","0","0","N/A","1"
"South End","55 Traveler St. #1303 South End","3235","0","0","1","1"
"South End","55 Traveler St. #732 South End","4170","0","0","2","2"
"South End","55 Traveler St. #1103 South End","3200","0","0","1","1"
