Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath,Northeastern University_transit_distance,Northeastern University_transit_cost,Northeastern University_driving_distance,Boston University_transit_distance,Boston University_transit_cost,Boston University_driving_distance,Boston College_transit_distance,Boston College_transit_cost,Boston College_driving_distance
Brighton,"107 Gordon St.,Unit 14,Boston,MA,02135,Brighton",2150,0,0,1,1,7317,4.1,6594,1946,2.4,2520,3493,2.4,2963
Fenway,"24 Peterborough St.,Unit 11,Boston,MA,02215,Fenway",2150,0,0,1,1,584,0,996,848,0,1200,7865,2.4,6507
Brighton,"10 Lothian Rd.,Unit 8,Boston,MA,02135,Brighton",2150,0,0,1,1,7076,2.4,6114,3856,2.4,3829,1596,2.4,1456
Brighton,"10 Lothian Rd.,Unit 12,Boston,MA,02135,Brighton",2150,0,0,1,1,7076,2.4,6114,3856,2.4,3829,1596,2.4,1456
Allston,"1 President Ter.,Unit 1,Boston,MA,02134,Allston",2150,0,0,1,1,4613,4.1,5723,1501,1.7,1551,4358,2.4,5056
Allston,"3 President Ter.,Unit 4,Boston,MA,02134,Allston",2150,0,0,1,1,6730,3.4,5750,1528,1.7,1578,4385,2.4,5083
Allston,"3 President Ter.,Unit 1,Boston,MA,02134,Allston",2150,0,0,1,1,6730,3.4,5750,1528,1.7,1578,4385,2.4,5083
Allston,"4 President Ter.,Unit 2,Boston,MA,02134,Allston",2150,0,0,1,1,6710,3.4,5730,1508,1.7,1558,4365,2.4,5063
Allston,"3 President Ter.,Unit 3,Boston,MA,02134,Allston",2150,0,0,1,1,6730,3.4,5750,1528,1.7,1578,4385,2.4,5083
Allston,"4 President Ter.,Unit 1,Boston,MA,02134,Allston",2150,0,0,1,1,6710,3.4,5730,1508,1.7,1558,4365,2.4,5063
Brighton,"1412 Commonwealth Ave.,Unit 5,Boston,MA,02134,Brighton",2150,0,0,1,1,7247,4.1,4659,1876,2.4,1857,3423,2.4,3194
Brighton,"107 Gordon St.,Unit G3,Boston,MA,02135,Brighton",2150,0,0,1,1,7316,4.1,6593,1945,2.4,2519,3492,2.4,2962
Allston,"4 President Ter.,Unit 3,Boston,MA,02134,Allston",2150,0,0,1,1,6710,3.4,5730,1508,1.7,1558,4365,2.4,5063
Allston,"1 President Ter.,Unit 4,Boston,MA,02134,Allston",2150,0,0,1,1,6710,3.4,5705,1508,1.7,1533,4365,2.4,5039
Allston,"67 Harvard Ave.,Unit 3,Boston,MA,02134,Allston",2150,0,0,1,1,4499,4.1,5405,1387,1.7,1270,4353,2.4,4123
Allston,"71 Harvard Ave.,Unit 6,Boston,MA,02134,Allston",2150,0,0,1,1,4484,4.1,5419,1372,1.7,1255,4338,2.4,4108
Brighton,"126 Warren St.,Unit 34,Boston,MA,02135,Brighton",2150,0,0,1,1,7496,4.1,4701,2125,2.4,2025,3190,2.4,2899
Allston,"4 President Ter.,Unit 2,Boston,MA,02134,Allston",2150,0,0,1,1,6710,3.4,5730,1508,1.7,1558,4365,2.4,5063
Allston,"3 President Ter.,Unit 3,Boston,MA,02134,Allston",2150,0,0,1,1,6730,3.4,5750,1528,1.7,1578,4385,2.4,5083
Allston,"1 President Ter.,Unit 4,Boston,MA,02134,Allston",2150,0,0,1,1,6710,3.4,5705,1508,1.7,1533,4365,2.4,5039
Brighton,"107 Gordon St.,Unit 14,Boston,MA,02135,Brighton",2150,0,0,1,1,7317,4.1,6594,1946,2.4,2520,3493,2.4,2963
Brighton,"107 Gordon St.,Unit 15,Boston,MA,02135,Brighton",2150,0,0,1,1,7316,4.1,6593,1945,2.4,2519,3492,2.4,2962
Allston,"4 President Ter.,Unit 1,Boston,MA,02134,Allston",2150,0,0,1,1,6710,3.4,5730,1508,1.7,1558,4365,2.4,5063
Brighton,"10 Lothian Rd.,Unit 4,Boston,MA,02135,Brighton",2150,0,0,1,1,7076,2.4,6114,3856,2.4,3829,1596,2.4,1456
East Boston,"73 Lubec St.,Unit 3R,Boston,MA,02128,East Boston",2150,0,0,1,1,7888,2.4,8011,9804,2.4,7495,14499,2.4,18171
Brighton,"10 Lothian Rd.,Unit 8,Boston,MA,02135,Brighton",2150,0,0,1,1,7076,2.4,6114,3856,2.4,3829,1596,2.4,1456
Allston,"71 Harvard Ave.,Unit 6,Boston,MA,02134,Allston",2150,0,0,1,1,4484,4.1,5419,1372,1.7,1255,4338,2.4,4108
Brighton,"107 Gordon St.,Unit 16,Boston,MA,02135,Brighton",2150,0,0,1,1,7316,4.1,6593,1945,2.4,2519,3492,2.4,2962
Brighton,"126 Warren St.,Unit 43,Boston,MA,02135,Brighton",2150,0,0,1,1,7373,4.1,4701,2002,2.4,2025,3190,2.4,2899
Brighton,"10 Lothian Rd.,Unit 12,Boston,MA,02135,Brighton",2150,0,0,1,1,7076,2.4,6114,3856,2.4,3829,1596,2.4,1456
Brighton,"107 Gordon St.,Unit 8,Boston,MA,02135,Brighton",2150,0,0,1,1,7316,4.1,6593,1945,2.4,2519,3492,2.4,2962
Brighton,"10 Lothian Rd.,Unit 12,Boston,MA,02135,Brighton",2150,0,0,1,1,7076,2.4,6114,3856,2.4,3829,1596,2.4,1456
Fenway,"24 Peterborough St.,Unit 11,Boston,MA,02215,Fenway",2150,0,0,1,1,584,0,996,848,0,1200,7865,2.4,6507
Brighton,"10 Lothian Rd.,Unit 8,Boston,MA,02135,Brighton",2150,0,0,1,1,7076,2.4,6114,3856,2.4,3829,1596,2.4,1456
Brighton,"10 Lothian Rd.,Unit 16,Boston,MA,02135,Brighton",2150,0,0,1,1,7076,2.4,6114,3856,2.4,3829,1596,2.4,1456
Brighton,"107 Gordon St.,Unit 6,Boston,MA,02135,Brighton",2150,0,0,1,1,7316,4.1,6593,1945,2.4,2519,3492,2.4,2962
Brighton,"10 Lothian Rd.,Unit 14,Boston,MA,02135,Brighton",2150,0,0,1,1,7076,2.4,6114,3856,2.4,3829,1596,2.4,1456
Allston,"3 President Ter.,Unit 1,Boston,MA,02134,Allston",2150,0,0,1,1,6730,3.4,5750,1528,1.7,1578,4385,2.4,5083
Brighton,"107 Gordon St.,Unit 4,Boston,MA,02135,Brighton",2150,0,0,1,1,7316,4.1,6593,1945,2.4,2519,3492,2.4,2962
