Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath,Northeastern University_transit,Northeastern University_driving,Boston University_transit,Boston University_driving,Boston College_transit,Boston College_driving,Northeastern University_transit_cost,Boston University_transit_cost,Boston College_transit_cost
Dorchester,60 Mather St. #1 Dorchester,3900,0.0,0.0,3.0,2.0,7166.0,8832.0,15297.0,15045.0,18688.0,13348.0,4.1,2.4,2.4
Dorchester,18 Gaston St. #1 Dorchester,3500,0.0,0.0,3.0,2.5,4088.0,3009.0,7488.0,6236.0,11600.0,9758.0,1.7,3.4,5.8
Dorchester,14 Bearse Ave. #1 Dorchester,3400,0.0,0.0,3.0,1.0,12244.0,11311.0,13068.0,17524.0,19761.0,13574.0,4.1,4.1,2.4
Dorchester,22 Willis St. #2 Dorchester,2850,0.0,0.0,3.0,1.0,7498.0,3816.0,8453.0,11739.0,17810.0,20244.0,3.4,5.8,4.1
Dorchester,97 Fuller St. #1 Dorchester,3200,0.0,0.0,3.0,1.5,8235.0,11126.0,11983.0,17339.0,16100.0,12683.0,3.4,5.1,5.8
Dorchester,7 Rowell #1 Dorchester,3400,0.0,0.0,3.0,2.0,4965.0,3757.0,8365.0,12493.0,12477.0,12811.0,1.7,3.4,4.1
Allston,1185 Commonwealth Ave. #1 Allston,3900,0.0,0.0,3.0,1.0,4445.0,5776.0,1225.0,1115.0,4015.0,3885.0,2.4,2.4,2.4
Allston,1197 Commonwealth Ave. #24 Allston,3100,0.0,0.0,2.0,1.0,4399.0,5730.0,1179.0,1069.0,3969.0,3839.0,4.1,2.4,2.4
Allston,41 Ashford St. #3 Allston,6000,0.0,0.0,4.0,1.5,4395.0,5621.0,1295.0,1449.0,5008.0,4561.0,2.4,1.7,2.4
Jamaica Plain,8 Buckley Ave. #1 Jamaica Plain,3300,0.0,0.0,3.0,1.0,3003.0,2375.0,8044.0,4652.0,10167.0,7062.0,1.7,4.1,6.5
South End,400 Massachusetts Ave. #85 South End,2700,0.0,0.0,1.0,1.0,370.0,770.0,3055.0,1772.0,8633.0,13499.0,0,4.1,4.1
Coolidge Corner,56 Dwight #3 Coolidge Corner,4500,0.0,0.0,3.0,2.0,3617.0,2853.0,2524.0,1512.0,5314.0,4062.0,2.4,3.4,4.1
Dorchester,16 Norwood St. #2 Dorchester,2100,0.0,0.0,1.0,1.0,12854.0,8138.0,16254.0,14351.0,20370.0,22856.0,3.4,5.8,7.5
Dorchester,24 Oyster Bay Rd. #190603 Dorchester,3450,0.0,0.0,2.0,2.0,9641.0,5542.0,12974.0,11755.0,19953.0,20260.0,1.7,1.7,2.4
Dorchester,112 Adams #3L Dorchester,2800,0.0,0.0,2.0,1.0,6002.0,4654.0,9402.0,14233.0,13514.0,13238.0,1.7,3.4,5.8
Roxbury,3 Sunderland #4 Roxbury,2600,0.0,0.0,2.0,1.0,4376.0,3300.0,7776.0,6526.0,11888.0,11487.0,1.7,3.4,5.8
Dorchester,58 Tolman St. #1 Dorchester,2500,0.0,0.0,1.0,1.0,12732.0,8016.0,19613.0,14229.0,20248.0,22734.0,3.4,5.8,7.5
Back Bay,513 Beacon #6 Back Bay,3395,0.0,0.0,1.0,1.0,1586.0,1109.0,590.0,590.0,8091.0,11557.0,1.7,0,2.4
Jamaica Plain,19 Armstrong St. #3 Jamaica Plain,3200,0.0,0.0,3.0,1.0,3066.0,2438.0,6466.0,5032.0,10230.0,7442.0,1.7,3.4,6.5
Allston,85 Brainerd Rd. #T8 Allston,5500,0.0,0.0,4.0,3.5,5365.0,4371.0,2145.0,1685.0,3692.0,3789.0,2.4,2.4,2.4
South End,11 East Springfield #C South End,5600,0.0,0.0,3.0,2.5,3013.0,1494.0,6413.0,3341.0,9448.0,10341.0,1.7,1.7,4.1
Brookline Village,22 Chestnut Pl. #316 Brookline Village,3300,0.0,0.0,2.0,2.0,4956.0,3519.0,4256.0,4482.0,5285.0,4850.0,4.1,3.4,1.7
Mission Hill,256 Parker Hill Ave. #SHORT TERM Mission Hill,2750,0.0,0.0,2.0,1.0,2551.0,1672.0,6154.0,3003.0,8558.0,7044.0,2.4,4.1,4.1
Back Bay,770 Boylston St. #770-22E Back Bay,3821,0.0,0.0,1.0,1.0,2323.0,8078.0,3493.0,6023.0,9028.0,13280.0,1.7,2.4,2.4
Mission Hill,75 Saint Alphonsus St. #2010 Mission Hill,2700,0.0,0.0,,1.0,902.0,966.0,5700.0,2297.0,12405.0,6937.0,2.4,4.1,2.4
Mission Hill,75 Saint Alphonsus St. #1207 Mission Hill,4926,0.0,0.0,3.0,2.0,902.0,966.0,5700.0,2297.0,12405.0,6937.0,2.4,4.1,2.4
Mission Hill,75 Saint Alphonsus St. #1910 Mission Hill,2700,0.0,0.0,,1.0,902.0,966.0,5700.0,2297.0,12405.0,6937.0,2.4,4.1,2.4
Mission Hill,75 Saint Alphonsus St. #903 Mission Hill,2544,0.0,0.0,1.0,1.0,902.0,966.0,5700.0,2297.0,12405.0,6937.0,2.4,4.1,2.4
Mission Hill,75 Saint Alphonsus St. #1404 Mission Hill,2434,0.0,0.0,1.0,1.0,902.0,966.0,5700.0,2297.0,12405.0,6937.0,2.4,4.1,2.4
Mission Hill,75 Saint Alphonsus St. #906 Mission Hill,2544,0.0,0.0,1.0,1.0,902.0,966.0,5700.0,2297.0,12405.0,6937.0,2.4,4.1,2.4
Mission Hill,75 Saint Alphonsus St. #605 Mission Hill,2584,0.0,0.0,1.0,1.0,902.0,966.0,5700.0,2297.0,12405.0,6937.0,2.4,4.1,2.4
