Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath,Northeastern University_transit,Northeastern University_driving,Boston University_transit_distance,Boston University_driving_distance,Boston College_transit_distance,Boston College_driving_distance,Northeastern University_transit_cost,Boston University_transit_cost,Boston College_transit_cost
Brighton,"1550 Soldiers Field Rd.,Unit 223,Boston,MA,02135,Brighton",2554,0.13,0.25,1.0,1.0,10769.0,8280,5568.0,6786,4415.0,3708,5.1,3.4,4.1
Brighton,"1550 Soldiers Field Rd.,Unit 329,Boston,MA,02135,Brighton",2554,0.13,0.25,1.0,1.0,10769.0,8280,5568.0,6786,4415.0,3708,5.1,3.4,4.1
Dorchester,"401 Mount Vernon St.,Unit 401-928,Boston,MA,02125,Dorchester",2558,0.284,0.37,1.0,1.0,9578.0,6082,12986.0,12295,16220.0,20800,1.7,3.4,4.1
Brighton,"1550 Soldiers Field Rd.,Unit 203,Boston,MA,02135,Brighton",2559,0.13,0.25,1.0,1.0,10769.0,8280,5568.0,6786,4415.0,3708,5.1,3.4,4.1
Mission Hill,"75 Saint Alphonsus St.,Unit 1211,Boston,MA,02120,Mission Hill",2559,0.0,0.0,1.0,1.0,902.0,966,5700.0,2297,12405.0,6937,2.4,3.4,2.4
Brighton,"1550 Soldiers Field Rd.,Unit 415,Boston,MA,02135,Brighton",2559,0.13,0.25,1.0,1.0,10769.0,8280,5568.0,6786,4415.0,3708,5.1,3.4,4.1
Mission Hill,"75 Saint Alphonsus St.,Unit 1406,Boston,MA,02120,Mission Hill",2559,0.0,0.0,1.0,1.0,901.0,967,5701.0,2298,12404.0,6938,2.4,3.4,2.4
Brighton,"1550 Soldiers Field Rd.,Unit 407,Boston,MA,02135,Brighton",2564,0.13,0.25,1.0,1.0,10769.0,8280,5568.0,6786,4415.0,3708,5.1,3.4,4.1
Brighton,"1550 Soldiers Field Rd.,Unit 429,Boston,MA,02135,Brighton",2564,0.13,0.25,1.0,1.0,10769.0,8280,5568.0,6786,4415.0,3708,5.1,3.4,4.1
Bay Village,"12 Melrose St.,Unit 4,Boston,MA,02116,Bay Village",2565,0.0,0.0,1.0,1.0,3015.0,2353,4913.0,2963,9608.0,14392,1.7,2.4,2.4
Dorchester,"24 Oyster Bay Rd.,Unit 350108,Boston,MA,02125,Dorchester",2565,0.284,0.37,1.0,1.0,9641.0,5542,12974.0,11755,15818.0,20260,1.7,1.7,2.4
Brighton,"1550 Soldiers Field Rd.,Unit 304,Boston,MA,02135,Brighton",2569,0.13,0.25,1.0,1.0,10769.0,8280,5568.0,6786,4415.0,3708,5.1,3.4,4.1
Mission Hill,"75 Saint Alphonsus St.,Unit 1806,Boston,MA,02120,Mission Hill",2571,0.0,0.0,1.0,1.0,902.0,966,5700.0,2297,12405.0,6937,2.4,3.4,2.4
Mission Hill,"75 Saint Alphonsus St.,Unit 1811,Boston,MA,02120,Mission Hill",2571,0.0,0.0,1.0,1.0,902.0,966,5700.0,2297,12405.0,6937,2.4,3.4,2.4
Mission Hill,"75 Saint Alphonsus St.,Unit 1503,Boston,MA,02120,Mission Hill",2574,0.0,0.0,1.0,1.0,902.0,966,5700.0,2297,12405.0,6937,2.4,3.4,2.4
Mission Hill,"75 Saint Alphonsus St.,Unit 1603,Boston,MA,02120,Mission Hill",2574,0.0,0.0,1.0,1.0,902.0,966,5700.0,2297,12405.0,6937,2.4,3.4,2.4
Brighton,"2 Sutherland Rd.,Unit 31,Boston,MA,02135,Brighton",2575,0.13,0.25,2.0,1.0,6253.0,5728,4859.0,3980,1643.0,1430,2.4,3.4,2.4
Jamaica Plain,"182 Boylston St.,Unit 3,Boston,MA,02130,Jamaica Plain",2575,0.03,0.28,2.0,1.0,4299.0,3002,6526.0,5234,10681.0,7482,1.7,4.1,6.5
Jamaica Plain,"16 Lakeville Rd.,Unit 2,Boston,MA,02130,Jamaica Plain",2575,0.03,0.28,2.0,1.0,4478.0,3640,6504.0,4773,14284.0,6864,1.7,3.4,4.1
Jamaica Plain,"16 Lakeville Rd.,Unit 4,Boston,MA,02130,Jamaica Plain",2575,0.03,0.28,2.0,1.0,4478.0,3640,6504.0,4773,14284.0,6864,1.7,3.4,4.1
Dorchester,"401 Mount Vernon St.,Unit 375-414,Boston,MA,02125,Dorchester",2577,0.284,0.37,1.0,1.0,9578.0,6082,12986.0,12295,16220.0,20800,1.7,3.4,4.1
Mission Hill,"75 Saint Alphonsus St.,Unit 605,Boston,MA,02120,Mission Hill",2584,0.0,0.0,1.0,1.0,902.0,966,5700.0,2297,12405.0,6937,2.4,3.4,2.4
Brighton,"1550 Soldiers Field Rd.,Unit 511,Boston,MA,02135,Brighton",2584,0.13,0.25,1.0,1.0,10769.0,8280,5568.0,6786,4415.0,3708,5.1,3.4,4.1
Brighton,"1550 Soldiers Field Rd.,Unit 629,Boston,MA,02135,Brighton",2584,0.13,0.25,1.0,1.0,10769.0,8280,5568.0,6786,4415.0,3708,5.1,3.4,4.1
Dorchester,"401 Mount Vernon St.,Unit 375-329,Boston,MA,02125,Dorchester",2589,0.284,0.37,1.0,1.0,9578.0,6082,12986.0,12295,16220.0,20800,1.7,3.4,4.1
Dorchester,"401 Mount Vernon St.,Unit 375-519,Boston,MA,02125,Dorchester",2589,0.284,0.37,1.0,1.0,9578.0,6082,12986.0,12295,16220.0,20800,1.7,3.4,4.1
